Year,recycling_m,recovery_efficiency_scenario,li_recovery_efficiency
2049,Pyro,high,0.3296
2050,Pyro,high,0.3333
2010,Hydro,low,0.7818
2011,Hydro,low,0.7821
2012,Hydro,low,0.7825
2013,Hydro,low,0.7829
2014,Hydro,low,0.7834
2015,Hydro,low,0.7839
2016,Hydro,low,0.7846
2017,Hydro,low,0.7853
2018,Hydro,low,0.7862
2019,Hydro,low,0.7872
2020,Hydro,low,0.7883
2021,Hydro,low,0.7896
2022,Hydro,low,0.7911
2023,Hydro,low,0.7928
2024,Hydro,low,0.7947
2025,Hydro,low,0.7968
2026,Hydro,low,0.7992
2027,Hydro,low,0.8018
2028,Hydro,low,0.8046
2029,Hydro,low,0.8077
2030,Hydro,low,0.811
2031,Hydro,low,0.8145
2032,Hydro,low,0.8182
2033,Hydro,low,0.8221
2034,Hydro,low,0.826
2035,Hydro,low,0.83
2036,Hydro,low,0.834
2037,Hydro,low,0.8379
2038,Hydro,low,0.8418
2039,Hydro,low,0.8455
2040,Hydro,low,0.849
2041,Hydro,low,0.8523
2042,Hydro,low,0.8554
2043,Hydro,low,0.8582
2044,Hydro,low,0.8608
2045,Hydro,low,0.8632
2046,Hydro,low,0.8653
2047,Hydro,low,0.8672
2048,Hydro,low,0.8689
2049,Hydro,low,0.8704
2050,Hydro,low,0.8717
2010,Hydro,baseline,0.851
2011,Hydro,baseline,0.8512
2012,Hydro,baseline,0.8514
2013,Hydro,baseline,0.8518
2014,Hydro,baseline,0.8521
2015,Hydro,baseline,0.8526
2016,Hydro,baseline,0.8531
2017,Hydro,baseline,0.8538
2018,Hydro,baseline,0.8546
2019,Hydro,baseline,0.8555
2020,Hydro,baseline,0.8567
2021,Hydro,baseline,0.858
2022,Hydro,baseline,0.8595
2023,Hydro,baseline,0.8613
2024,Hydro,baseline,0.8634
2025,Hydro,baseline,0.8658
2026,Hydro,baseline,0.8685
2027,Hydro,baseline,0.8715
2028,Hydro,baseline,0.8748
2029,Hydro,baseline,0.8783
2030,Hydro,baseline,0.8821
2031,Hydro,baseline,0.886
2032,Hydro,baseline,0.89
2033,Hydro,baseline,0.894
2034,Hydro,baseline,0.8979
2035,Hydro,baseline,0.9017
2036,Hydro,baseline,0.9052
2037,Hydro,baseline,0.9085
2038,Hydro,baseline,0.9115
2039,Hydro,baseline,0.9142
2040,Hydro,baseline,0.9166
2041,Hydro,baseline,0.9187
2042,Hydro,baseline,0.9205
2043,Hydro,baseline,0.922
2044,Hydro,baseline,0.9233
2045,Hydro,baseline,0.9245
2046,Hydro,baseline,0.9254
2047,Hydro,baseline,0.9262
2048,Hydro,baseline,0.9269
2049,Hydro,baseline,0.9274
2050,Hydro,baseline,0.9279
2010,Hydro,high,0.9006
2011,Hydro,high,0.9007
2012,Hydro,high,0.9009
2013,Hydro,high,0.9012
2014,Hydro,high,0.9015
2015,Hydro,high,0.9019
2016,Hydro,high,0.9023
2017,Hydro,high,0.903
2018,Hydro,high,0.9037
2019,Hydro,high,0.9047
2020,Hydro,high,0.9058
2021,Hydro,high,0.9072
2022,Hydro,high,0.909
2023,Hydro,high,0.911
2024,Hydro,high,0.9134
2025,Hydro,high,0.9162
2026,Hydro,high,0.9194
2027,Hydro,high,0.9229
2028,Hydro,high,0.9268
2029,Hydro,high,0.9308
2030,Hydro,high,0.935
2031,Hydro,high,0.9392
2032,Hydro,high,0.9432
2033,Hydro,high,0.9471
2034,Hydro,high,0.9506
2035,Hydro,high,0.9538
2036,Hydro,high,0.9566
2037,Hydro,high,0.959
2038,Hydro,high,0.961
2039,Hydro,high,0.9628
2040,Hydro,high,0.9642
2041,Hydro,high,0.9653
2042,Hydro,high,0.9663
2043,Hydro,high,0.967
2044,Hydro,high,0.9677
2045,Hydro,high,0.9681
2046,Hydro,high,0.9685
2047,Hydro,high,0.9688
2048,Hydro,high,0.9691
2049,Hydro,high,0.9693
2050,Hydro,high,0.9694
2010,Direct,low,0.4534
2011,Direct,low,0.4539
2012,Direct,low,0.4544
2013,Direct,low,0.4551
2014,Direct,low,0.4558
2015,Direct,low,0.4567
2016,Direct,low,0.4577
2017,Direct,low,0.4588
2018,Direct,low,0.4601
2019,Direct,low,0.4615
2020,Direct,low,0.4632
2021,Direct,low,0.4651
2022,Direct,low,0.4672
2023,Direct,low,0.4696
2024,Direct,low,0.4723
2025,Direct,low,0.4754
2026,Direct,low,0.4789
2027,Direct,low,0.4827
2028,Direct,low,0.487
2029,Direct,low,0.4918
2030,Direct,low,0.4971
2031,Direct,low,0.503
2032,Direct,low,0.5093
2033,Direct,low,0.5163
2034,Direct,low,0.5238
2035,Direct,low,0.5319
2036,Direct,low,0.5405
2037,Direct,low,0.5495
2038,Direct,low,0.5591
2039,Direct,low,0.569
2040,Direct,low,0.5791
2041,Direct,low,0.5895
2042,Direct,low,0.6
2043,Direct,low,0.6105
2044,Direct,low,0.6209
2045,Direct,low,0.631
2046,Direct,low,0.6409
2047,Direct,low,0.6505
2048,Direct,low,0.6595
2049,Direct,low,0.6681
2050,Direct,low,0.6762
2010,Direct,baseline,0.6018
2011,Direct,baseline,0.6022
2012,Direct,baseline,0.6026
2013,Direct,baseline,0.6031
2014,Direct,baseline,0.6037
2015,Direct,baseline,0.6044
2016,Direct,baseline,0.6052
2017,Direct,baseline,0.6062
2018,Direct,baseline,0.6074
2019,Direct,baseline,0.6089
2020,Direct,baseline,0.6106
2021,Direct,baseline,0.6125
2022,Direct,baseline,0.6149
2023,Direct,baseline,0.6176
2024,Direct,baseline,0.6209
2025,Direct,baseline,0.6246
2026,Direct,baseline,0.629
2027,Direct,baseline,0.634
2028,Direct,baseline,0.6397
2029,Direct,baseline,0.6463
2030,Direct,baseline,0.6536
2031,Direct,baseline,0.6619
2032,Direct,baseline,0.671
2033,Direct,baseline,0.6809
2034,Direct,baseline,0.6917
2035,Direct,baseline,0.7031
2036,Direct,baseline,0.7151
2037,Direct,baseline,0.7274
2038,Direct,baseline,0.74
2039,Direct,baseline,0.7526
2040,Direct,baseline,0.7649
2041,Direct,baseline,0.7769
2042,Direct,baseline,0.7883
2043,Direct,baseline,0.7991
2044,Direct,baseline,0.809
2045,Direct,baseline,0.8181
2046,Direct,baseline,0.8264
2047,Direct,baseline,0.8337
2048,Direct,baseline,0.8403
2049,Direct,baseline,0.846
2050,Direct,baseline,0.851
2010,Direct,high,0.7505
2011,Direct,high,0.7506
2012,Direct,high,0.7508
2013,Direct,high,0.751
2014,Direct,high,0.7512
2015,Direct,high,0.7516
2016,Direct,high,0.752
2017,Direct,high,0.7525
2018,Direct,high,0.7532
2019,Direct,high,0.754
2020,Direct,high,0.7551
2021,Direct,high,0.7564
2022,Direct,high,0.758
2023,Direct,high,0.7601
2024,Direct,high,0.7627
2025,Direct,high,0.7658
2026,Direct,high,0.7696
2027,Direct,high,0.7743
2028,Direct,high,0.7798
2029,Direct,high,0.7864
2030,Direct,high,0.794
2031,Direct,high,0.8026
2032,Direct,high,0.8122
2033,Direct,high,0.8226
2034,Direct,high,0.8337
2035,Direct,high,0.845
2036,Direct,high,0.8563
2037,Direct,high,0.8674
2038,Direct,high,0.8778
2039,Direct,high,0.8874
2040,Direct,high,0.896
2041,Direct,high,0.9036
2042,Direct,high,0.9102
2043,Direct,high,0.9157
2044,Direct,high,0.9204
2045,Direct,high,0.9242
2046,Direct,high,0.9273
2047,Direct,high,0.9299
2048,Direct,high,0.932
2049,Direct,high,0.9336
2050,Direct,high,0.9349
